d_fecha_prod,TipoAlimento,CategoriaAlimento,Semana,SemanaNum,Anio,kwh_prensa,porc_prensa,Rendimiento,ton
2025-06-13 00:00:00,N1,Broiler,2025-06-09 00:00:00,S24,2025,10.274965404256879,87.00000000000001,29.900332225913623,119711.26
2025-06-13 00:00:00,N0,Broiler,2025-06-09 00:00:00,S24,2025,10.6,87,,29922.3
2025-06-13 00:00:00,N4,Broiler,2025-06-09 00:00:00,S24,2025,10.6,87,31.11111111111111,13974.65
2025-06-13 00:00:00,A1624,Abuela,2025-06-09 00:00:00,S24,2025,12.7,92,22.941176470588236,25909.55
2025-06-13 00:00:00,R04,Reproductoras,2025-06-09 00:00:00,S24,2025,14.399999999999999,88,22.5,11996.19
2025-06-12 00:00:00,N3,Broiler,2025-06-09 00:00:00,S24,2025,9.82521291660666,86.75013156923082,30.252100840336134,119708.84
2025-06-12 00:00:00,N2,Broiler,2025-06-09 00:00:00,S24,2025,10.05999872108954,87.39999795534689,31.639871382636656,149658.64
2025-06-12 00:00:00,N1,Broiler,2025-06-09 00:00:00,S24,2025,10.5,86,30.337078651685392,29915
2025-06-12 00:00:00,N0,Broiler,2025-06-09 00:00:00,S24,2025,11.29998241808263,87.33365691187596,29.03225806451613,89808.18
2025-06-11 00:00:00,AP4,Abuela,2025-06-09 00:00:00,S24,2025,9.7,85,34.285714285714285,11968.16
2025-06-11 00:00:00,AP2,Abuela,2025-06-09 00:00:00,S24,2025,9.8,85,32,15938.02
2025-06-11 00:00:00,N3,Broiler,2025-06-09 00:00:00,S24,2025,9.959956267115686,87.20016188319896,31.03448275862069,149873.49
2025-06-11 00:00:00,N2,Broiler,2025-06-09 00:00:00,S24,2025,10.050095278391158,87.2503479993791,31.100917431192656,239655.6
2025-06-11 00:00:00,N1,Broiler,2025-06-09 00:00:00,S24,2025,10.331551231595244,87.1055524622023,30.10033444816054,189743.75
2025-06-10 00:00:00,AP3,Abuela,2025-06-09 00:00:00,S24,2025,9.9,86,30.857142857142854,17991.26
2025-06-10 00:00:00,N3,Broiler,2025-06-09 00:00:00,S24,2025,10,87,32.72727272727273,29988.04
2025-06-10 00:00:00,N2,Broiler,2025-06-09 00:00:00,S24,2025,10.064048425942325,86.79764643823005,31.054313099041536,178045.89
2025-06-10 00:00:00,N4,Broiler,2025-06-09 00:00:00,S24,2025,10.10007805591924,87.00026018639747,30,59995.45
2025-06-10 00:00:00,N0,Broiler,2025-06-09 00:00:00,S24,2025,10.3,87,28.125,60022.15
2025-06-10 00:00:00,N1,Broiler,2025-06-09 00:00:00,S24,2025,10.423213921914664,87.64384561638407,30.15706806282723,146028.19
2025-06-10 00:00:00,AM,Abuela,2025-06-09 00:00:00,S24,2025,11.8,88,27.272727272727273,9983.38
2025-06-09 00:00:00,AP1,Abuela,2025-06-09 00:00:00,S24,2025,9.399999999999999,81.99999999999999,31.2,26033.65
2025-06-09 00:00:00,N2,Broiler,2025-06-09 00:00:00,S24,2025,9.775019551770455,86.50008355528661,31.578947368421055,120040.28
2025-06-09 00:00:00,N1,Broiler,2025-06-09 00:00:00,S24,2025,10.100000999861354,88,30.252100840336134,60008.32
2025-06-09 00:00:00,N3,Broiler,2025-06-09 00:00:00,S24,2025,10.174944567035887,87.00000000000001,31.718061674008812,119933.15
2025-06-09 00:00:00,N4,Broiler,2025-06-09 00:00:00,S24,2025,10.639198965082848,87.34799741270713,30.329670329670332,46009.48
2025-06-09 00:00:00,N0,Broiler,2025-06-09 00:00:00,S24,2025,10.699999999999998,87,27.906976744186043,59967.82
2025-06-06 00:00:00,N2,Broiler,2025-06-02 00:00:00,S23,2025,9.543122855824276,85.99974392459066,30.508474576271183,74040.69
2025-06-06 00:00:00,AP2,Abuela,2025-06-02 00:00:00,S23,2025,10,87,33.333333333333336,10002.76
2025-06-06 00:00:00,N3,Broiler,2025-06-02 00:00:00,S23,2025,10.149979034228435,87,31.03448275862069,60026.41
2025-06-06 00:00:00,N1,Broiler,2025-06-02 00:00:00,S23,2025,10.18742341115519,87.49980436893141,29.03225806451613,240069.23
2025-06-06 00:00:00,AP1,Abuela,2025-06-02 00:00:00,S23,2025,10.2,86,30.96774193548387,15977.68
2025-06-06 00:00:00,N4,Broiler,2025-06-02 00:00:00,S23,2025,10.449981846245572,86.50006051251476,30,120057.81
2025-06-06 00:00:00,N0,Broiler,2025-06-02 00:00:00,S23,2025,10.49980476589019,87.33326918127904,28.800000000000004,89994.52
